id,orig,C,T,R,nC,nT,nR,jdir,checker_pass,cid,order,crit_key,criterionId,stmt,armT3,nT3,gap,transitional
T4-rename-e5-e17,cannot-tell,cannot-tell,established,cannot-tell,2,5,2,r1/f9b27dd/P3-control-b/T4-rename/rep-2/events.json,True,T4-rename-e5,17,r1/f9b27dd/P3-control-b/T4-rename/rep-2/events.json|T4-rename,c1,"archive.txt exists with the former content of notes.txt, and notes.txt no longer exists",established,4,True,True
T4-rename-e5-e21,cannot-tell,cannot-tell,established,cannot-tell,2,6,1,r1/f9b27dd/P3-control-b/T4-rename/rep-2/events.json,True,T4-rename-e5,21,r1/f9b27dd/P3-control-b/T4-rename/rep-2/events.json|T4-rename,c1,"archive.txt exists with the former content of notes.txt, and notes.txt no longer exists",established,4,True,True
T4-rename-e2-e13,cannot-tell,cannot-tell,established,cannot-tell,1,2,1,r1/f9b27dd/P3-control-b/T4-rename/rep-3/events.json,True,T4-rename-e2,13,r1/f9b27dd/P3-control-b/T4-rename/rep-3/events.json|T4-rename,c1,"archive.txt exists with the former content of notes.txt, and notes.txt no longer exists",established,3,True,True
T4-rename-e2-e17,established,cannot-tell,established,cannot-tell,2,3,0,r1/f9b27dd/P3-control-b/T4-rename/rep-3/events.json,True,T4-rename-e2,17,r1/f9b27dd/P3-control-b/T4-rename/rep-3/events.json|T4-rename,c1,"archive.txt exists with the former content of notes.txt, and notes.txt no longer exists",established,4,True,True
R2-6-split-e2-e7,cannot-tell,cannot-tell,not-established,established,1,1,1,r2/33e599e/M9-judge-b/R2-6-split/events.json,True,R2-6-split-e2,7,r2/33e599e/M9-judge-b/R2-6-split/events.json|R2-6-split,c1,each section of the old notes.md is its own file under notes/,cannot-tell,1,False,True
R2-6-split-e2-e8,not-established,not-established,not-established,established,1,1,1,r2/33e599e/M9-judge-b/R2-6-split/events.json,True,R2-6-split-e2,8,r2/33e599e/M9-judge-b/R2-6-split/events.json|R2-6-split,c2,notes.md is an index linking the three files,not-established,1,False,False
R2-6-split-e2-e15,cannot-tell,cannot-tell,cannot-tell,cannot-tell,0,1,1,r2/33e599e/M9-judge-b/R2-6-split/events.json,True,R2-6-split-e2,15,r2/33e599e/M9-judge-b/R2-6-split/events.json|R2-6-split,c1,each section of the old notes.md is its own file under notes/,cannot-tell,1,False,True
R2-6-split-e2-e25,cannot-tell,cannot-tell,cannot-tell,cannot-tell,0,1,1,r2/33e599e/M9-judge-b/R2-6-split/events.json,True,R2-6-split-e2,25,r2/33e599e/M9-judge-b/R2-6-split/events.json|R2-6-split,c1,each section of the old notes.md is its own file under notes/,cannot-tell,1,False,True
R2-6-split-e2-e35,cannot-tell,cannot-tell,cannot-tell,cannot-tell,0,1,1,r2/33e599e/M9-judge-b/R2-6-split/events.json,True,R2-6-split-e2,35,r2/33e599e/M9-judge-b/R2-6-split/events.json|R2-6-split,c1,each section of the old notes.md is its own file under notes/,cannot-tell,1,False,True
R2-6-split-e5-e7,cannot-tell,established,established,cannot-tell,1,3,2,r2/33e599e/M9-judge-b/R2-6-split/events.json,True,R2-6-split-e5,7,r2/33e599e/M9-judge-b/R2-6-split/events.json|R2-6-split,c1,each section of the old notes.md is its own file under notes/,cannot-tell,2,False,True
R2-6-split-e5-e8,established,established,established,cannot-tell,1,3,2,r2/33e599e/M9-judge-b/R2-6-split/events.json,True,R2-6-split-e5,8,r2/33e599e/M9-judge-b/R2-6-split/events.json|R2-6-split,c2,notes.md is an index linking the three files,established,2,False,False
R2-4-independent-e2-e8,cannot-tell,cannot-tell,cannot-tell,cannot-tell,1,1,1,r2/33e599e/M9-judge/R2-4-independent/events.json,False,R2-4-independent-e2,8,r2/33e599e/M9-judge/R2-4-independent/events.json|R2-4-independent,c2,version 1.4.3 is set in package.json and described in CHANGELOG.md,cannot-tell,1,False,False
R2-2-module-e2-e7,not-established,not-established,not-established,not-established,1,1,1,r2/f9b27dd/P3-judge-run-b/R2-2-module/rep-1/events.json,True,R2-2-module-e2,7,r2/f9b27dd/P3-judge-run-b/R2-2-module/rep-1/events.json|R2-2-module,c2,slugify is exported from src/index.js and registered in modules.json,not-established,1,False,False
R2-2-module-e2-e25,cannot-tell,cannot-tell,not-established,cannot-tell,1,1,1,r2/f9b27dd/P3-judge-run-b/R2-2-module/rep-1/events.json,True,R2-2-module-e2,25,r2/f9b27dd/P3-judge-run-b/R2-2-module/rep-1/events.json|R2-2-module,c2,slugify is exported from src/index.js and registered in modules.json,not-established,2,True,False
R2-2-module-e2-e37,cannot-tell,cannot-tell,cannot-tell,cannot-tell,1,3,3,r2/f9b27dd/P3-judge-run-b/R2-2-module/rep-1/events.json,True,R2-2-module-e2,37,r2/f9b27dd/P3-judge-run-b/R2-2-module/rep-1/events.json|R2-2-module,c2,slugify is exported from src/index.js and registered in modules.json,cannot-tell,3,True,False
R2-2-module-e2-e44,established,established,cannot-tell,cannot-tell,3,3,3,r2/f9b27dd/P3-judge-run-b/R2-2-module/rep-1/events.json,True,R2-2-module-e2,44,r2/f9b27dd/P3-judge-run-b/R2-2-module/rep-1/events.json|R2-2-module,c2,slugify is exported from src/index.js and registered in modules.json,established,3,False,False
R2-2-module-e2-e7,not-established,not-established,not-established,not-established,1,1,1,r2/f9b27dd/P3-judge-run-b/R2-2-module/rep-2/events.json,True,R2-2-module-e2,7,r2/f9b27dd/P3-judge-run-b/R2-2-module/rep-2/events.json|R2-2-module,c2,slugify is exported from src/index.js and registered in modules.json,not-established,1,False,False
R2-2-module-e2-e25,cannot-tell,cannot-tell,not-established,cannot-tell,0,1,1,r2/f9b27dd/P3-judge-run-b/R2-2-module/rep-2/events.json,True,R2-2-module-e2,25,r2/f9b27dd/P3-judge-run-b/R2-2-module/rep-2/events.json|R2-2-module,c2,slugify is exported from src/index.js and registered in modules.json,not-established,2,True,False
R2-2-module-e2-e36,cannot-tell,cannot-tell,not-established,not-established,0,2,2,r2/f9b27dd/P3-judge-run-b/R2-2-module/rep-2/events.json,True,R2-2-module-e2,36,r2/f9b27dd/P3-judge-run-b/R2-2-module/rep-2/events.json|R2-2-module,c2,slugify is exported from src/index.js and registered in modules.json,cannot-tell,2,True,False
R2-2-module-e2-e48,not-established,cannot-tell,not-established,not-established,2,2,2,r2/f9b27dd/P3-judge-run-b/R2-2-module/rep-2/events.json,True,R2-2-module-e2,48,r2/f9b27dd/P3-judge-run-b/R2-2-module/rep-2/events.json|R2-2-module,c2,slugify is exported from src/index.js and registered in modules.json,cannot-tell,3,True,False
R2-2-module-e2-e52,established,established,not-established,cannot-tell,3,3,3,r2/f9b27dd/P3-judge-run-b/R2-2-module/rep-2/events.json,True,R2-2-module-e2,52,r2/f9b27dd/P3-judge-run-b/R2-2-module/rep-2/events.json|R2-2-module,c2,slugify is exported from src/index.js and registered in modules.json,established,3,False,False
R2-3-spec-e2-e6,not-established,not-established,not-established,cannot-tell,1,1,1,r2/f9b27dd/P3-judge-run-b/R2-3-spec/rep-1/events.json,True,R2-3-spec-e2,6,r2/f9b27dd/P3-judge-run-b/R2-3-spec/rep-1/events.json|R2-3-spec,c1,"settings.ini reflects every change SPEC.md lists, and nothing else in it changed",not-established,1,False,True
R2-3-spec-e2-e20,cannot-tell,cannot-tell,established,cannot-tell,2,3,3,r2/f9b27dd/P3-judge-run-b/R2-3-spec/rep-1/events.json,True,R2-3-spec-e2,20,r2/f9b27dd/P3-judge-run-b/R2-3-spec/rep-1/events.json|R2-3-spec,c1,"settings.ini reflects every change SPEC.md lists, and nothing else in it changed",established,3,False,True
R2-3-spec-e2-e33,cannot-tell,cannot-tell,established,cannot-tell,2,3,3,r2/f9b27dd/P3-judge-run-b/R2-3-spec/rep-1/events.json,True,R2-3-spec-e2,33,r2/f9b27dd/P3-judge-run-b/R2-3-spec/rep-1/events.json|R2-3-spec,c1,"settings.ini reflects every change SPEC.md lists, and nothing else in it changed",established,3,False,True
R2-3-spec-e2-e40,cannot-tell,cannot-tell,established,cannot-tell,2,4,4,r2/f9b27dd/P3-judge-run-b/R2-3-spec/rep-1/events.json,True,R2-3-spec-e2,40,r2/f9b27dd/P3-judge-run-b/R2-3-spec/rep-1/events.json|R2-3-spec,c1,"settings.ini reflects every change SPEC.md lists, and nothing else in it changed",established,2,False,True
R2-3-spec-e5-e6,cannot-tell,cannot-tell,established,cannot-tell,1,5,5,r2/f9b27dd/P3-judge-run-b/R2-3-spec/rep-1/events.json,True,R2-3-spec-e5,6,r2/f9b27dd/P3-judge-run-b/R2-3-spec/rep-1/events.json|R2-3-spec,c1,"settings.ini reflects every change SPEC.md lists, and nothing else in it changed",established,2,False,True
R2-3-spec-e5-e10,cannot-tell,cannot-tell,established,cannot-tell,1,6,6,r2/f9b27dd/P3-judge-run-b/R2-3-spec/rep-1/events.json,True,R2-3-spec-e5,10,r2/f9b27dd/P3-judge-run-b/R2-3-spec/rep-1/events.json|R2-3-spec,c1,"settings.ini reflects every change SPEC.md lists, and nothing else in it changed",cannot-tell,2,False,True
R2-3-spec-e5-e14,cannot-tell,cannot-tell,established,cannot-tell,1,7,5,r2/f9b27dd/P3-judge-run-b/R2-3-spec/rep-1/events.json,True,R2-3-spec-e5,14,r2/f9b27dd/P3-judge-run-b/R2-3-spec/rep-1/events.json|R2-3-spec,c1,"settings.ini reflects every change SPEC.md lists, and nothing else in it changed",established,2,False,True
R2-3-spec-e5-e18,cannot-tell,cannot-tell,established,cannot-tell,1,8,4,r2/f9b27dd/P3-judge-run-b/R2-3-spec/rep-1/events.json,True,R2-3-spec-e5,18,r2/f9b27dd/P3-judge-run-b/R2-3-spec/rep-1/events.json|R2-3-spec,c1,"settings.ini reflects every change SPEC.md lists, and nothing else in it changed",cannot-tell,2,False,True
R2-3-spec-e5-e22,cannot-tell,cannot-tell,established,cannot-tell,2,9,3,r2/f9b27dd/P3-judge-run-b/R2-3-spec/rep-1/events.json,True,R2-3-spec-e5,22,r2/f9b27dd/P3-judge-run-b/R2-3-spec/rep-1/events.json|R2-3-spec,c1,"settings.ini reflects every change SPEC.md lists, and nothing else in it changed",cannot-tell,3,False,True
R2-3-spec-e5-e26,cannot-tell,cannot-tell,established,cannot-tell,3,10,2,r2/f9b27dd/P3-judge-run-b/R2-3-spec/rep-1/events.json,True,R2-3-spec-e5,26,r2/f9b27dd/P3-judge-run-b/R2-3-spec/rep-1/events.json|R2-3-spec,c1,"settings.ini reflects every change SPEC.md lists, and nothing else in it changed",established,3,False,True
R2-3-spec-e5-e30,cannot-tell,cannot-tell,established,cannot-tell,4,10,2,r2/f9b27dd/P3-judge-run-b/R2-3-spec/rep-1/events.json,True,R2-3-spec-e5,30,r2/f9b27dd/P3-judge-run-b/R2-3-spec/rep-1/events.json|R2-3-spec,c1,"settings.ini reflects every change SPEC.md lists, and nothing else in it changed",established,3,False,True
R2-3-spec-e5-e34,cannot-tell,cannot-tell,established,cannot-tell,4,11,1,r2/f9b27dd/P3-judge-run-b/R2-3-spec/rep-1/events.json,True,R2-3-spec-e5,34,r2/f9b27dd/P3-judge-run-b/R2-3-spec/rep-1/events.json|R2-3-spec,c1,"settings.ini reflects every change SPEC.md lists, and nothing else in it changed",established,2,False,True
R2-3-spec-e2-e6,not-established,not-established,not-established,cannot-tell,1,1,1,r2/f9b27dd/P3-judge-run-b/R2-3-spec/rep-2/events.json,True,R2-3-spec-e2,6,r2/f9b27dd/P3-judge-run-b/R2-3-spec/rep-2/events.json|R2-3-spec,c1,"settings.ini reflects every change SPEC.md lists, and nothing else in it changed",not-established,1,False,True
R2-3-spec-e2-e20,cannot-tell,cannot-tell,established,cannot-tell,2,3,3,r2/f9b27dd/P3-judge-run-b/R2-3-spec/rep-2/events.json,True,R2-3-spec-e2,20,r2/f9b27dd/P3-judge-run-b/R2-3-spec/rep-2/events.json|R2-3-spec,c1,"settings.ini reflects every change SPEC.md lists, and nothing else in it changed",established,3,False,True
R2-3-spec-e5-e6,cannot-tell,cannot-tell,established,cannot-tell,1,4,2,r2/f9b27dd/P3-judge-run-b/R2-3-spec/rep-2/events.json,True,R2-3-spec-e5,6,r2/f9b27dd/P3-judge-run-b/R2-3-spec/rep-2/events.json|R2-3-spec,c1,"settings.ini reflects every change SPEC.md lists, and nothing else in it changed",established,3,False,True
R2-3-spec-e5-e10,cannot-tell,cannot-tell,established,cannot-tell,2,5,1,r2/f9b27dd/P3-judge-run-b/R2-3-spec/rep-2/events.json,True,R2-3-spec-e5,10,r2/f9b27dd/P3-judge-run-b/R2-3-spec/rep-2/events.json|R2-3-spec,c1,"settings.ini reflects every change SPEC.md lists, and nothing else in it changed",established,3,False,True
R2-3-spec-e5-e14,cannot-tell,cannot-tell,established,cannot-tell,3,6,0,r2/f9b27dd/P3-judge-run-b/R2-3-spec/rep-2/events.json,True,R2-3-spec-e5,14,r2/f9b27dd/P3-judge-run-b/R2-3-spec/rep-2/events.json|R2-3-spec,c1,"settings.ini reflects every change SPEC.md lists, and nothing else in it changed",established,2,False,True
R2-4-independent-e2-e18,not-established,not-established,not-established,cannot-tell,2,1,1,r2/f9b27dd/P3-judge-run-b/R2-4-independent/rep-1/events.json,True,R2-4-independent-e2,18,r2/f9b27dd/P3-judge-run-b/R2-4-independent/rep-1/events.json|R2-4-independent,c2,version 1.4.3 is set in package.json and described in CHANGELOG.md,not-established,1,False,False
R2-4-independent-e2-e32,cannot-tell,cannot-tell,not-established,cannot-tell,1,2,2,r2/f9b27dd/P3-judge-run-b/R2-4-independent/rep-1/events.json,True,R2-4-independent-e2,32,r2/f9b27dd/P3-judge-run-b/R2-4-independent/rep-1/events.json|R2-4-independent,c2,version 1.4.3 is set in package.json and described in CHANGELOG.md,cannot-tell,3,True,False
R2-4-independent-e2-e39,established,established,established,cannot-tell,3,3,2,r2/f9b27dd/P3-judge-run-b/R2-4-independent/rep-1/events.json,True,R2-4-independent-e2,39,r2/f9b27dd/P3-judge-run-b/R2-4-independent/rep-1/events.json|R2-4-independent,c2,version 1.4.3 is set in package.json and described in CHANGELOG.md,established,3,False,False
R2-4-independent-e2-e18,not-established,not-established,not-established,cannot-tell,2,1,1,r2/f9b27dd/P3-judge-run-b/R2-4-independent/rep-2/events.json,True,R2-4-independent-e2,18,r2/f9b27dd/P3-judge-run-b/R2-4-independent/rep-2/events.json|R2-4-independent,c2,version 1.4.3 is set in package.json and described in CHANGELOG.md,not-established,1,False,False
R2-4-independent-e2-e40,established,established,established,cannot-tell,4,5,2,r2/f9b27dd/P3-judge-run-b/R2-4-independent/rep-2/events.json,True,R2-4-independent-e2,40,r2/f9b27dd/P3-judge-run-b/R2-4-independent/rep-2/events.json|R2-4-independent,c2,version 1.4.3 is set in package.json and described in CHANGELOG.md,established,3,False,False
R2-6-split-e2-e6,cannot-tell,established,cannot-tell,cannot-tell,2,1,1,r2/f9b27dd/P3-judge-run-b/R2-6-split/rep-1/events.json,True,R2-6-split-e2,6,r2/f9b27dd/P3-judge-run-b/R2-6-split/rep-1/events.json|R2-6-split,c1,each section of the old notes.md is its own file under notes/,cannot-tell,1,False,True
R2-6-split-e2-e7,not-established,cannot-tell,not-established,established,2,1,1,r2/f9b27dd/P3-judge-run-b/R2-6-split/rep-1/events.json,True,R2-6-split-e2,7,r2/f9b27dd/P3-judge-run-b/R2-6-split/rep-1/events.json|R2-6-split,c2,notes.md is an index linking the three files,not-established,1,False,False
R2-6-split-e2-e14,cannot-tell,established,cannot-tell,established,2,1,1,r2/f9b27dd/P3-judge-run-b/R2-6-split/rep-1/events.json,True,R2-6-split-e2,14,r2/f9b27dd/P3-judge-run-b/R2-6-split/rep-1/events.json|R2-6-split,c1,each section of the old notes.md is its own file under notes/,cannot-tell,1,False,True
R2-6-split-e2-e30,cannot-tell,cannot-tell,cannot-tell,cannot-tell,2,1,1,r2/f9b27dd/P3-judge-run-b/R2-6-split/rep-1/events.json,True,R2-6-split-e2,30,r2/f9b27dd/P3-judge-run-b/R2-6-split/rep-1/events.json|R2-6-split,c1,each section of the old notes.md is its own file under notes/,cannot-tell,1,False,True
R2-6-split-e2-e37,established,established,cannot-tell,cannot-tell,3,1,1,r2/f9b27dd/P3-judge-run-b/R2-6-split/rep-1/events.json,True,R2-6-split-e2,37,r2/f9b27dd/P3-judge-run-b/R2-6-split/rep-1/events.json|R2-6-split,c1,each section of the old notes.md is its own file under notes/,cannot-tell,1,False,True
R2-6-split-e5-e6,cannot-tell,cannot-tell,established,cannot-tell,1,3,3,r2/f9b27dd/P3-judge-run-b/R2-6-split/rep-1/events.json,True,R2-6-split-e5,6,r2/f9b27dd/P3-judge-run-b/R2-6-split/rep-1/events.json|R2-6-split,c1,each section of the old notes.md is its own file under notes/,cannot-tell,2,False,True
R2-6-split-e5-e7,established,established,established,cannot-tell,1,3,3,r2/f9b27dd/P3-judge-run-b/R2-6-split/rep-1/events.json,True,R2-6-split-e5,7,r2/f9b27dd/P3-judge-run-b/R2-6-split/rep-1/events.json|R2-6-split,c2,notes.md is an index linking the three files,established,2,False,False
R2-6-split-e5-e12,cannot-tell,cannot-tell,established,cannot-tell,2,3,3,r2/f9b27dd/P3-judge-run-b/R2-6-split/rep-1/events.json,True,R2-6-split-e5,12,r2/f9b27dd/P3-judge-run-b/R2-6-split/rep-1/events.json|R2-6-split,c1,each section of the old notes.md is its own file under notes/,cannot-tell,2,False,True
R2-6-split-e5-e16,cannot-tell,cannot-tell,established,cannot-tell,3,4,4,r2/f9b27dd/P3-judge-run-b/R2-6-split/rep-1/events.json,True,R2-6-split-e5,16,r2/f9b27dd/P3-judge-run-b/R2-6-split/rep-1/events.json|R2-6-split,c1,each section of the old notes.md is its own file under notes/,established,2,False,True
R2-6-split-e5-e24,cannot-tell,established,established,cannot-tell,4,4,4,r2/f9b27dd/P3-judge-run-b/R2-6-split/rep-1/events.json,True,R2-6-split-e5,24,r2/f9b27dd/P3-judge-run-b/R2-6-split/rep-1/events.json|R2-6-split,c1,each section of the old notes.md is its own file under notes/,established,2,False,True
R2-6-split-e2-e6,cannot-tell,established,cannot-tell,cannot-tell,3,1,1,r2/f9b27dd/P3-judge-run-b/R2-6-split/rep-2/events.json,True,R2-6-split-e2,6,r2/f9b27dd/P3-judge-run-b/R2-6-split/rep-2/events.json|R2-6-split,c1,each section of the old notes.md is its own file under notes/,cannot-tell,1,False,True
R2-6-split-e2-e7,not-established,cannot-tell,not-established,established,3,1,1,r2/f9b27dd/P3-judge-run-b/R2-6-split/rep-2/events.json,True,R2-6-split-e2,7,r2/f9b27dd/P3-judge-run-b/R2-6-split/rep-2/events.json|R2-6-split,c2,notes.md is an index linking the three files,not-established,1,False,False
R2-6-split-e2-e14,cannot-tell,established,cannot-tell,established,3,1,1,r2/f9b27dd/P3-judge-run-b/R2-6-split/rep-2/events.json,True,R2-6-split-e2,14,r2/f9b27dd/P3-judge-run-b/R2-6-split/rep-2/events.json|R2-6-split,c1,each section of the old notes.md is its own file under notes/,cannot-tell,1,False,True
R2-6-split-e2-e24,cannot-tell,established,cannot-tell,cannot-tell,3,1,1,r2/f9b27dd/P3-judge-run-b/R2-6-split/rep-2/events.json,True,R2-6-split-e2,24,r2/f9b27dd/P3-judge-run-b/R2-6-split/rep-2/events.json|R2-6-split,c1,each section of the old notes.md is its own file under notes/,cannot-tell,1,False,True
R2-6-split-e2-e34,cannot-tell,established,cannot-tell,cannot-tell,3,1,1,r2/f9b27dd/P3-judge-run-b/R2-6-split/rep-2/events.json,True,R2-6-split-e2,34,r2/f9b27dd/P3-judge-run-b/R2-6-split/rep-2/events.json|R2-6-split,c1,each section of the old notes.md is its own file under notes/,cannot-tell,1,False,True
R2-6-split-e2-e51,cannot-tell,cannot-tell,established,cannot-tell,1,3,3,r2/f9b27dd/P3-judge-run-b/R2-6-split/rep-2/events.json,True,R2-6-split-e2,51,r2/f9b27dd/P3-judge-run-b/R2-6-split/rep-2/events.json|R2-6-split,c1,each section of the old notes.md is its own file under notes/,established,2,False,True
R2-6-split-e2-e52,established,established,established,established,1,3,3,r2/f9b27dd/P3-judge-run-b/R2-6-split/rep-2/events.json,True,R2-6-split-e2,52,r2/f9b27dd/P3-judge-run-b/R2-6-split/rep-2/events.json|R2-6-split,c2,notes.md is an index linking the three files,established,2,False,False
R2-6-split-e2-e61,cannot-tell,established,established,established,3,3,3,r2/f9b27dd/P3-judge-run-b/R2-6-split/rep-2/events.json,True,R2-6-split-e2,61,r2/f9b27dd/P3-judge-run-b/R2-6-split/rep-2/events.json|R2-6-split,c1,each section of the old notes.md is its own file under notes/,established,2,False,True
R2-6-split-e2-e71,cannot-tell,established,established,cannot-tell,4,3,3,r2/f9b27dd/P3-judge-run-b/R2-6-split/rep-2/events.json,True,R2-6-split-e2,71,r2/f9b27dd/P3-judge-run-b/R2-6-split/rep-2/events.json|R2-6-split,c1,each section of the old notes.md is its own file under notes/,established,2,False,True
R2-6-split-e5-e6,cannot-tell,cannot-tell,established,cannot-tell,1,4,4,r2/f9b27dd/P3-judge-run-b/R2-6-split/rep-2/events.json,True,R2-6-split-e5,6,r2/f9b27dd/P3-judge-run-b/R2-6-split/rep-2/events.json|R2-6-split,c1,each section of the old notes.md is its own file under notes/,cannot-tell,2,False,True
R2-6-split-e5-e7,established,established,established,cannot-tell,1,4,4,r2/f9b27dd/P3-judge-run-b/R2-6-split/rep-2/events.json,True,R2-6-split-e5,7,r2/f9b27dd/P3-judge-run-b/R2-6-split/rep-2/events.json|R2-6-split,c2,notes.md is an index linking the three files,established,2,False,False
R2-6-split-e5-e12,cannot-tell,cannot-tell,established,cannot-tell,2,4,4,r2/f9b27dd/P3-judge-run-b/R2-6-split/rep-2/events.json,True,R2-6-split-e5,12,r2/f9b27dd/P3-judge-run-b/R2-6-split/rep-2/events.json|R2-6-split,c1,each section of the old notes.md is its own file under notes/,cannot-tell,2,False,True
R2-6-split-e5-e16,cannot-tell,cannot-tell,established,cannot-tell,3,5,4,r2/f9b27dd/P3-judge-run-b/R2-6-split/rep-2/events.json,True,R2-6-split-e5,16,r2/f9b27dd/P3-judge-run-b/R2-6-split/rep-2/events.json|R2-6-split,c1,each section of the old notes.md is its own file under notes/,established,2,False,True
R2-6-split-e5-e24,cannot-tell,established,established,cannot-tell,4,5,4,r2/f9b27dd/P3-judge-run-b/R2-6-split/rep-2/events.json,True,R2-6-split-e5,24,r2/f9b27dd/P3-judge-run-b/R2-6-split/rep-2/events.json|R2-6-split,c1,each section of the old notes.md is its own file under notes/,established,2,False,True
R2-2-module-e5-e6,not-established,not-established,not-established,cannot-tell,1,1,1,r2/f9b27dd/P3-judge-run/R2-2-module/rep-1/events.json,True,R2-2-module-e5,6,r2/f9b27dd/P3-judge-run/R2-2-module/rep-1/events.json|R2-2-module,c2,slugify is exported from src/index.js and registered in modules.json,not-established,1,False,False
R2-2-module-e5-e24,cannot-tell,cannot-tell,not-established,not-established,0,1,1,r2/f9b27dd/P3-judge-run/R2-2-module/rep-1/events.json,True,R2-2-module-e5,24,r2/f9b27dd/P3-judge-run/R2-2-module/rep-1/events.json|R2-2-module,c2,slugify is exported from src/index.js and registered in modules.json,not-established,2,True,False
R2-2-module-e5-e35,cannot-tell,cannot-tell,not-established,cannot-tell,0,2,2,r2/f9b27dd/P3-judge-run/R2-2-module/rep-1/events.json,True,R2-2-module-e5,35,r2/f9b27dd/P3-judge-run/R2-2-module/rep-1/events.json|R2-2-module,c2,slugify is exported from src/index.js and registered in modules.json,cannot-tell,2,True,False
R2-2-module-e5-e46,cannot-tell,cannot-tell,not-established,established,2,2,2,r2/f9b27dd/P3-judge-run/R2-2-module/rep-1/events.json,True,R2-2-module-e5,46,r2/f9b27dd/P3-judge-run/R2-2-module/rep-1/events.json|R2-2-module,c2,slugify is exported from src/index.js and registered in modules.json,cannot-tell,3,True,False
R2-2-module-e5-e51,established,established,established,cannot-tell,3,3,3,r2/f9b27dd/P3-judge-run/R2-2-module/rep-1/events.json,True,R2-2-module-e5,51,r2/f9b27dd/P3-judge-run/R2-2-module/rep-1/events.json|R2-2-module,c2,slugify is exported from src/index.js and registered in modules.json,established,2,False,False
R2-3-spec-e2-e6,not-established,not-established,not-established,cannot-tell,1,1,1,r2/f9b27dd/P3-judge-run/R2-3-spec/rep-1/events.json,True,R2-3-spec-e2,6,r2/f9b27dd/P3-judge-run/R2-3-spec/rep-1/events.json|R2-3-spec,c1,"settings.ini reflects every change SPEC.md lists, and nothing else in it changed",not-established,1,False,True
